Suco;Peixe
Suco;Alface
Peixe;Alface
Suco;Peixe
Suco;Feijao
Peixe;Feijao
Agua Mineral;Cerveja
Agua Mineral;Frango
Cerveja;Frango
Agua Mineral;Cerveja
Uva;Frango
Uva;Alface
Frango;Alface
Agua Mineral;Frango
Agua Mineral;Morango
Agua Mineral;Peixe
Agua Mineral;Frango
Agua Mineral;Feijao
Morango;Peixe
Morango;Frango
Morango;Feijao
Peixe;Frango
Peixe;Feijao
Frango;Feijao
Banana;Arroz
Banana;Feijao
Arroz;Feijao
Arroz;Feijao
Miojo;Arroz
Miojo;Feijao
Arroz;Feijao
Arroz;Feijao
Suco;Banana
Suco;Frango
Banana;Frango
Agua Mineral;Miojo
